Method,path,req,Param_Name,CORS,Dev_resources_id
POST,/wallet/{m_hd_wallet_id}/{currency_code}/proposal,body,password,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/{currency_code}/proposal,body,m_hd_wallets_public_address_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/{currency_code}/proposal,body,to_public_address,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/{currency_code}/proposal,body,fee_priority,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/{currency_code}/proposal,body,remark,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id},header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id},path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/proposal/{proposal_id},header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/proposal/{proposal_id},path,proposal_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/proposal/{proposal_id},path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/{currency_code}/proposal/{proposal_id},path,currency_code,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/gas_fee,header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/gas_fee,querystring,currency_code,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/gas_fee,path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/copayer,header,user_token,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/copayer,path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/copayer,querystring,page,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/copayer,querystring,count,no,xb9v0gg9de
GET,/setting/languages,header,user_token,no,xb9v0gg9de
GET,/setting/currencies,header,user_token,no,xb9v0gg9de
GET,/setting/currencies,querystring,support_upgrade_wallet,no,xb9v0gg9de
